"","Suburb","Population.density.2015","year","population","POSTCODE"
"459","COLLINGWOOD",6657.3,2008,6185,3066
"460","COLLINGWOOD",6657.3,2010,6684,3066
"461","COLLINGWOOD",6657.3,2009,6454,3066
"462","COLLINGWOOD",6657.3,2013,7253,3066
"463","CRANBOURNE",1664.9,2011,19169,3977
"464","CRANBOURNE",1664.9,2013,20501,3977
"465","CRANBOURNE",1664.9,2008,17059,3977
"466","CRANBOURNE",1664.9,2012,19736,3977
"467","CRANBOURNE",1664.9,2006,15071,3977
"468","CRANBOURNE",1664.9,2014,21140,3977
"469","CRANBOURNE",1664.9,2005,14665,3977
"470","CRANBOURNE",1664.9,2015,21688,3977
"471","CRANBOURNE",1664.9,2009,18016,3977
"472","CRANBOURNE",1664.9,2010,18859,3977
"473","CRANBOURNE",1664.9,2007,15913,3977
"474","CRANBOURNE EAST",441.2,2013,11392,3977
"475","CRANBOURNE EAST",441.2,2006,4230,3977
"476","CRANBOURNE EAST",441.2,2007,4858,3977
"477","CRANBOURNE EAST",441.2,2011,8344,3977
"478","CRANBOURNE EAST",441.2,2009,6211,3977
"479","CRANBOURNE EAST",441.2,2010,6844,3977
"480","CRANBOURNE EAST",441.2,2005,3425,3977
"481","CRANBOURNE EAST",441.2,2014,14334,3977
"482","CRANBOURNE EAST",441.2,2012,9787,3977
"483","CRANBOURNE EAST",441.2,2008,5350,3977
"484","CRANBOURNE EAST",441.2,2015,18923,3977
"485","CRANBOURNE NORTH",1862.4,2011,14826,3977
"486","CRANBOURNE NORTH",1862.4,2013,16652,3977
"487","CRANBOURNE NORTH",1862.4,2006,9886,3977
"488","CRANBOURNE NORTH",1862.4,2012,15801,3977
"489","CRANBOURNE NORTH",1862.4,2015,19070,3977
"490","CRANBOURNE NORTH",1862.4,2014,17673,3977
"491","CRANBOURNE NORTH",1862.4,2009,12536,3977
"492","CRANBOURNE NORTH",1862.4,2010,13655,3977
"493","CRANBOURNE NORTH",1862.4,2007,10632,3977
"494","CRANBOURNE NORTH",1862.4,2005,9565,3977
"495","CRANBOURNE NORTH",1862.4,2008,11516,3977
"496","CRANBOURNE SOUTH",109.5,2009,5833,3977
"497","CRANBOURNE SOUTH",109.5,2013,8270,3977
"498","CRANBOURNE SOUTH",109.5,2006,5070,3977
"499","CRANBOURNE SOUTH",109.5,2007,5141,3977
"500","CRANBOURNE SOUTH",109.5,2005,4925,3977
"501","CRANBOURNE SOUTH",109.5,2008,5419,3977
"502","CRANBOURNE SOUTH",109.5,2014,8616,3977
"503","CRANBOURNE SOUTH",109.5,2015,8945,3977
"504","CRANBOURNE SOUTH",109.5,2011,6880,3977
"505","CRANBOURNE SOUTH",109.5,2012,7419,3977
"506","CRANBOURNE SOUTH",109.5,2010,6311,3977
"507","CRANBOURNE WEST",967.1,2015,12474,3977
"508","CRANBOURNE WEST",967.1,2013,10598,3977
"509","CRANBOURNE WEST",967.1,2009,8571,3977
"510","CRANBOURNE WEST",967.1,2007,7880,3977
"511","CRANBOURNE WEST",967.1,2011,9000,3977
"512","CRANBOURNE WEST",967.1,2006,7584,3977
"513","CRANBOURNE WEST",967.1,2012,9629,3977
"514","CRANBOURNE WEST",967.1,2008,8208,3977
"515","CRANBOURNE WEST",967.1,2014,11743,3977
"516","CRANBOURNE WEST",967.1,2005,7238,3977
"517","CRANBOURNE WEST",967.1,2010,8837,3977
"518","CROYDON",1851.7,2012,30891,3136
"519","CROYDON",1851.7,2014,32225,3136
"520","CROYDON",1851.7,2015,32862,3136
"521","CROYDON",1851.7,2006,28266,3136
"522","CROYDON",1851.7,2008,29232,3136
"523","CROYDON",1851.7,2007,28698,3136
"524","CROYDON",1851.7,2005,28039,3136
"525","CROYDON",1851.7,2011,30526,3136
"526","CROYDON",1851.7,2013,31500,3136
"527","CROYDON",1851.7,2009,29917,3136
"528","CROYDON",1851.7,2010,30192,3136
"529","DANDENONG",494.8,2008,25250,3175
"530","DANDENONG",494.8,2005,22980,3175
"531","DANDENONG",494.8,2011,27414,3175
"532","DANDENONG",494.8,2010,26613,3175
"533","DANDENONG",494.8,2012,28213,3175
"534","DANDENONG",494.8,2007,24232,3175
