"","POSTCODE","Suburb","Top country of birth","rang0n4","rang5n9","rang10n14","rang15n19","rang20n24","rang25n44","rang45n64","rang65n69","rang70n74","rang75n79","rang80n84","above85","total","Born overseas, %","Born in non-English speaking country, %","Top country of birth__1","Top country of birth, persons","Top country of birth, %","Children","Adult","Elderly"
"109",3074,"Thomastown","Italy",5.9,5.1,5.1,6,6.8,28.9,24.2,5.8,4.6,3.8,2.3,1.4,21348,53.9,51.9,"Italy",3232,8.4,16.1,65.9,17.9
"110",3075,"Lalor","Italy",6.5,5.8,5.6,6,6.9,29.1,22.5,5.4,4.7,4.2,2.3,1.1,21348,49.8,47.6,"Italy",2820,7.5,17.9,64.5,17.7
"111",3076,"Epping","India",8.6,6.8,6,6.4,7.5,34.8,21.8,2.7,1.9,1.4,1.2,1,29632,36.1,32.5,"India",2996,5.9,21.4,70.5,8.2
"112",3078,"Alphington","England",6.2,6.2,6.7,4.9,6.2,30.9,27.7,3.3,2.2,1.9,1.3,2.3,4893,22.1,14.4,"England",342,3.9,19.1,69.7,11
"113",3078,"Fairfield","Greece",5.7,5.3,3.8,5.3,7,38.4,23.2,2.9,2.2,2.8,2,1.4,6194,28.2,20.6,"Greece",466,4.1,14.8,73.9,11.3
"114",3079,"Ivanhoe","China",5.5,6.1,6.2,6.3,6.7,28.8,27.1,3.9,2.9,2.4,2,2.2,11691,26.3,19.1,"China",668,3.1,17.8,68.9,13.4
"115",3079,"Ivanhoe East","England",5.2,6.7,7,7.4,6.4,21.7,28.6,5.2,3.4,2.5,2.6,3.4,4024,20.4,13.9,"England",260,3.6,18.9,64.1,17.1
"116",3081,"Heidelberg West","Somalia",7.8,6.8,5.5,5.9,7.4,31.9,20.6,3.6,3,2.4,2.3,2.9,5672,37,32,"Somalia",548,5.6,20.1,65.8,14.2
"117",3081,"Heidelberg Heights","India",7.1,4.6,4.4,4.8,7.9,34,22.4,3.4,2.2,2.7,2.6,3.8,6713,31.3,25.2,"India",438,3.7,16.1,69.1,14.7
"118",3082,"Mill Park","FYR Macedonia",5.3,6.2,6.7,8,8.9,27.3,28.6,3.2,2.2,1.7,1.1,0.8,31334,33.3,29.9,"FYR Macedonia",2142,3.7,18.2,72.8,9
"119",3083,"Bundoora","China",5.3,5.3,4.9,6.8,12.4,28.4,22.4,4.7,3.3,2.8,2,1.8,27155,38,33.9,"China",3674,7.6,15.5,70,14.6
"120",3083,"Kingsbury","China",4.7,3.8,4,4.6,16.5,32.7,17.2,4.8,5.1,3.8,1.8,0.9,3556,52.1,47.9,"China",770,11.9,12.5,71,16.4
"121",3084,"Rosanna","Italy",7.2,5.4,4.7,4.7,6.1,27.1,22.8,4.3,4.4,4.5,4.2,4.8,8350,24.9,18.5,"Italy",630,4.2,17.3,60.7,22.2
"122",3084,"Heidelberg","China",7.2,6.3,4.8,4.7,7.2,33.3,21.7,4.4,2.9,2.4,2.4,2.7,6056,27.4,21.2,"China",324,3,18.3,66.9,14.8
"123",3084,"Viewbank","England",6.6,5.7,5.8,6.5,5.9,24.1,26.6,6.9,5.1,2.9,2,1.9,7067,26.2,20.8,"England",394,3,18.1,63.1,18.8
"124",3084,"Eaglemont","Italy",4.7,6.5,6,7.2,8.4,21.5,31.3,5.2,2.9,2.5,1.9,1.9,4067,21.3,14.5,"Italy",280,3.7,17.2,68.4,14.4
"125",3085,"Macleod","England",7.3,5.8,4.9,5.3,7.7,29.2,22.9,3.5,3.3,3.5,3.3,3.5,10054,25.5,19,"England",556,3,18,65.1,17.1
"126",3085,"Yallambie","England",8.4,6,5.5,7.9,9.5,31.6,20.4,5.2,2.6,1.4,0.9,0.8,4250,18.2,12.1,"England",272,3.5,19.9,69.4,10.9
"127",3087,"Watsonia","England",6.7,6.1,5,5.1,6.2,31.5,22,3.6,4.2,3.9,3.1,2.7,5338,18.2,13.2,"England",242,2.5,17.8,64.8,17.5
"128",3087,"Watsonia North","Italy",5.9,4.6,6.2,6.1,6.9,27.4,26.9,6.6,4.9,2.1,1.7,0.7,3984,21.9,17.2,"Italy",262,3.5,16.7,67.3,16
"129",3088,"Greensborough","England",6.7,5.9,5.4,5.9,6.9,28.2,27,5,3.3,2.2,1.7,1.7,21372,19.2,13,"England",1212,3.1,18,68,13.9
"130",3088,"St Helena","England",4.5,4.9,6.9,8.9,9.8,19.5,33.8,2.5,1.8,1.8,2.4,3.2,2906,14.3,8.1,"England",174,3.1,16.3,72,11.7
"131",3088,"Briar Hill","England",6.3,5.1,5.1,6.3,7.1,30.3,25,4.6,4.4,3.3,1.7,0.8,3192,15.7,7.9,"England",272,4.5,16.5,68.7,14.8
"132",3089,"Diamond Creek","England",5.9,6.8,7.8,8.6,8.5,26,28.4,2.9,2.1,1.4,0.6,0.9,11372,13.4,6.2,"England",962,4.5,20.5,71.5,7.9
"133",3090,"Plenty","England",6.2,9.3,12.1,9.1,8.1,21.2,27.2,3.1,2,0.3,0.5,0.8,1573,12.6,8.5,"England",68,2.4,27.6,65.6,6.7
"134",3091,"Yarrambat","Italy",3.3,6.9,8.7,9.6,7.6,21.6,32.5,5.2,2.6,0.6,0.9,0.6,698,14.1,9.6,"Italy",60,4.7,18.9,71.3,9.9
"135",3093,"Lower Plenty","England",5.1,6,6,5.9,5.8,24.7,27.7,5.9,4.5,2.6,2.2,3.6,3913,15.8,9.2,"England",256,3.5,17.1,64.1,18.8
"136",3094,"Montmorency","England",7.2,5.6,5,5.7,6.8,27.8,27,6,3.2,2.4,1.7,1.5,9034,14.5,7.1,"England",722,4.2,17.8,67.3,14.8
"137",3095,"Eltham","England",5.9,7.1,6.8,7.4,6.7,23.7,30.8,4.8,2.8,1.6,1,1.3,18656,16.4,7.6,"England",1830,5.2,19.8,68.6,11.5
