Suburb,Population density 2015,year,population
BAIRNSDALE,92.1,2005,12462
BRUTHEN - OMEO,1,2005,7248
LAKES ENTRANCE,46.6,2005,8669
ORBOST,0.6,2005,6902
PAYNESVILLE,14.6,2005,5008
FOSTER,5.4,2005,8167
FRENCH ISLAND,0.7,2005,92
KORUMBURRA,15,2005,8185
LEONGATHA,13.5,2005,10026
PHILLIP ISLAND,100.7,2005,8260
WILSONS PROMONTORY,0,2005,13
WONTHAGGI - INVERLOCH,29.9,2005,18250
CHURCHILL,14.9,2005,11220
MOE - NEWBOROUGH,154.4,2005,16975
MORWELL,163.5,2005,13944
TRARALGON,179.3,2005,23222
YALLOURN NORTH - GLENGARRY,13,2005,4491
ALPS - WEST,0,2005,26
LONGFORD - LOCH SPORT,2.4,2005,3700
MAFFRA,5.3,2005,13023
ROSEDALE,4.9,2005,4354
SALE,322.5,2005,13820
YARRAM,2.7,2005,5465
ARARAT,49.3,2005,8104
ARARAT REGION,0.7,2005,3126
HORSHAM,198,2005,14979
HORSHAM REGION,0.8,2005,3590
NHILL REGION,0.6,2005,7633
ST ARNAUD,1.1,2005,3826
STAWELL,3,2005,8500
WEST WIMMERA,0.5,2005,3174
YARRIAMBIACK,0.9,2005,7654
IRYMPLE,73.1,2005,6430
MERBEIN,44.5,2005,4790
MILDURA,432.9,2005,28858
MILDURA REGION,0.2,2005,4239
RED CLIFFS,22.2,2005,5664
BULOKE,0.7,2005,6998
GANNAWARRA,1.7,2005,7257
KERANG,25.8,2005,4180
ROBINVALE,18.8,2005,3818
SWAN HILL,85.4,2005,10088
SWAN HILL REGION,1.1,2005,7086
ECHUCA,79.8,2005,13651
KYABRAM,14.6,2005,10832
LOCKINGTON - GUNBOWER,2.2,2005,4240
ROCHESTER,10.9,2005,3675
RUSHWORTH,2.4,2005,4334
COBRAM,47.9,2005,5926
MOIRA,1.7,2005,2681
NUMURKAH,5.3,2005,12391
YARRAWONGA,81.3,2005,5971
MOOROOPNA,193.6,2005,7771
SHEPPARTON - NORTH,281.8,2005,16474
SHEPPARTON - SOUTH,161.5,2005,19477
SHEPPARTON REGION - EAST,3.7,2005,4054
SHEPPARTON REGION - WEST,9.6,2005,9848
GLENELG (VIC.),1.4,2005,9254
HAMILTON (VIC.),49.5,2005,10375
PORTLAND,167.9,2005,10768
SOUTHERN GRAMPIANS,0.9,2005,6634
CAMPERDOWN,34.2,2005,3583
COLAC,215.9,2005,11543
COLAC REGION,2.7,2005,5708
CORANGAMITE - NORTH,2,2005,5596
CORANGAMITE - SOUTH,3.9,2005,7700
MOYNE - EAST,2,2005,6638
MOYNE - WEST,4.6,2005,8517
OTWAY,2.1,2005,3492
WARRNAMBOOL - NORTH,334,2005,18172
WARRNAMBOOL - SOUTH,109.3,2005,12748
BRUNSWICK,5102.6,2006,21655
BRUNSWICK EAST,4981.9,2006,7803
BRUNSWICK WEST,4589.1,2006,12746
COBURG,3990.4,2006,24353
PASCOE VALE SOUTH,3419.6,2006,9206
ALPHINGTON - FAIRFIELD,3108.7,2006,8105
NORTHCOTE,4219.6,2006,22220
THORNBURY,3863.4,2006,17368
ASCOT VALE,3995.1,2006,12890
ESSENDON - ABERFELDIE,3275.2,2006,24395
FLEMINGTON,6322.1,2006,8410
MOONEE PONDS,3394.4,2006,13123
CARLTON,9783.1,2006,12737
DOCKLANDS,2955.1,2006,4152
EAST MELBOURNE,1865.7,2006,4555
FLEMINGTON RACECOURSE,50.3,2006,63
KENSINGTON,5124.4,2006,9013
MELBOURNE,14114.8,2006,15249
NORTH MELBOURNE,6121.2,2006,13714
PARKVILLE,1820.8,2006,5270
SOUTH YARRA - WEST,4603.7,2006,5538
SOUTHBANK,5923.7,2006,9863
ALBERT PARK,3516.6,2006,13550
ELWOOD,6456.4,2006,14477
PORT MELBOURNE,6098.6,2006,14049
PORT MELBOURNE INDUSTRIAL,2.2,2006,9
SOUTH MELBOURNE,5072.1,2006,9719
ST KILDA,6965.1,2006,21990
ST KILDA EAST,7209,2006,15847
ARMADALE,4475.2,2006,8863
PRAHRAN - WINDSOR,7210.3,2006,17594
SOUTH YARRA - EAST,7936.9,2006,14406
TOORAK,3261.3,2006,13765
ABBOTSFORD,4339.1,2006,4537
CARLTON NORTH - PRINCES HILL,3945.1,2006,8586
COLLINGWOOD,6657.3,2006,5761
FITZROY,8265.8,2006,9241
FITZROY NORTH,5189.9,2006,11606
RICHMOND (VIC.),5030.8,2006,25883
YARRA - NORTH,1771.6,2006,8034
ASHBURTON (VIC.),2925.9,2006,7344
BALWYN,3016.4,2006,15879
BALWYN NORTH,2408.6,2006,20412
CAMBERWELL,3020.5,2006,20218
GLEN IRIS - EAST,3007.1,2006,15567
HAWTHORN,4232.6,2006,20531
HAWTHORN EAST,4129.4,2006,13626
KEW,2468.1,2006,23583
KEW EAST,1642.3,2006,6239
SURREY HILLS (WEST) - CANTERBURY,2935.7,2006,16206
BULLEEN,1754,2006,10867
DONCASTER,2312.1,2006,18599
DONCASTER EAST,2632.9,2006,27439
TEMPLESTOWE,1071,2006,17208
TEMPLESTOWE LOWER,2402.4,2006,13505
BLACKBURN,2518.5,2006,19317
BLACKBURN SOUTH,3115,2006,10588
BOX HILL,2832,2006,16476
BOX HILL NORTH,2914.1,2006,16224
BURWOOD,2407.3,2006,10227
BURWOOD EAST,2515.7,2006,10239
SURREY HILLS (EAST) - MONT ALBERT,3122.3,2006,9643
BEAUMARIS,2322.9,2006,12767
BRIGHTON (VIC.),2901.5,2006,21360
BRIGHTON EAST,3008.5,2006,15265
CHELTENHAM - HIGHETT (WEST),2136.8,2006,9837
HAMPTON,3245.3,2006,16568
SANDRINGHAM - BLACK ROCK,2640.2,2006,15010
BENTLEIGH - MCKINNON,3735.9,2006,20409
BENTLEIGH EAST,3173.9,2006,25281
CARNEGIE,4856.7,2006,15659
CAULFIELD - NORTH,3445.4,2006,19698
CAULFIELD - SOUTH,3850.3,2006,16508
ELSTERNWICK,4127.9,2006,10668
HUGHESDALE,3908.6,2006,6764
MURRUMBEENA,3809.9,2006,8548
ORMOND - GLEN HUNTLY,4644.7,2006,11703
ASPENDALE GARDENS - WATERWAYS,1776.5,2006,7365
BRAESIDE,2.2,2006,14
CARRUM - PATTERSON LAKES,2007.7,2006,10864
CHELSEA - BONBEACH,2621,2006,11970
CHELSEA HEIGHTS,1703,2006,5248
CHELTENHAM - HIGHETT (EAST),2594.2,2006,19969
EDITHVALE - ASPENDALE,2567.6,2006,11669
MENTONE,2971.5,2006,11571
MOORABBIN - HEATHERTON,764,2006,7925
MORDIALLOC - PARKDALE,2532.4,2006,18126
MALVERN - GLEN IRIS,3458.1,2006,19120
MALVERN EAST,2890,2006,20308
BUNDOORA - EAST,2423.5,2006,9325
GREENSBOROUGH,2094.9,2006,20717
HEIDELBERG - ROSANNA,2371.3,2006,13063
HEIDELBERG WEST,2256.4,2006,13271
IVANHOE,2388.8,2006,10713
IVANHOE EAST - EAGLEMONT,1925.3,2006,7884
MONTMORENCY - BRIAR HILL,1365.3,2006,15668
VIEWBANK - YALLAMBIE,1844.3,2006,18286
WATSONIA,2480.7,2006,9036
KINGSBURY,1271.6,2006,8561
PRESTON,2946.1,2006,28716
RESERVOIR - EAST,3034.9,2006,24666
RESERVOIR - WEST,2430.2,2006,22663
ELTHAM,1201.3,2006,23965
HURSTBRIDGE,239.5,2006,3665
KINGLAKE,12.3,2006,4032
PANTON HILL - ST ANDREWS,17.9,2006,5374
PLENTY - YARRAMBAT,329.4,2006,8722
RESEARCH - NORTH WARRANDYTE,137,2006,6843
WATTLE GLEN - DIAMOND CREEK,521.7,2006,12946
