POSTCODE,year,occurence
3891,2012,9
3892,2012,61
3893,2012,2
3895,2012,6
3896,2012,19
3898,2012,48
3900,2012,10
3902,2012,19
3903,2012,17
3904,2012,36
3909,2012,"1,003"
3910,2012,911
3911,2012,188
3912,2012,678
3913,2012,216
3915,2012,"1,334"
3916,2012,44
3918,2012,135
3919,2012,155
3920,2012,11
3921,2012,0
3922,2012,565
3923,2012,10
3925,2012,189
3926,2012,71
3927,2012,37
3928,2012,14
3929,2012,73
3930,2012,417
3931,2012,"1,840"
3933,2012,52
3934,2012,411
3936,2012,516
3937,2012,58
3938,2012,60
3939,2012,"1,318"
3940,2012,268
3941,2012,870
3942,2012,115
3943,2012,327
3944,2012,59
3945,2012,57
3946,2012,9
3950,2012,320
3951,2012,15
3953,2012,504
3954,2012,8
3956,2012,106
3957,2012,2
3958,2012,6
3959,2012,24
3960,2012,104
3962,2012,31
3964,2012,5
3965,2012,23
3966,2012,22
3967,2012,0
3971,2012,292
3975,2012,485
3976,2012,"1,170"
3977,2012,"4,797"
3978,2012,195
3979,2012,6
3980,2012,130
3981,2012,222
3984,2012,233
3987,2012,21
3988,2012,21
3990,2012,4
3991,2012,21
3992,2012,14
3995,2012,"1,008"
3996,2012,261
3000,2013,"21,309"
3002,2013,"1,019"
3003,2013,511
3004,2013,142
3006,2013,"2,344"
3008,2013,"1,002"
3011,2013,"3,193"
3012,2013,"1,965"
3013,2013,774
3015,2013,"1,149"
3016,2013,"1,355"
3018,2013,876
3019,2013,"1,111"
3020,2013,"6,482"
3021,2013,"4,399"
3022,2013,377
3023,2013,"4,552"
3024,2013,"1,025"
3025,2013,"1,188"
3026,2013,905
3027,2013,252
3028,2013,"2,167"
3029,2013,"5,331"
3030,2013,"6,332"
3031,2013,"2,302"
3032,2013,"3,383"
3033,2013,616
3034,2013,487
3036,2013,353
3037,2013,"2,482"
3038,2013,"1,972"
3039,2013,"1,652"
3040,2013,"1,425"
3041,2013,632
3042,2013,"1,380"
3043,2013,"1,496"
3044,2013,"1,296"
3045,2013,741
3046,2013,"2,558"
3047,2013,"3,926"
3048,2013,"1,562"
3049,2013,433
3051,2013,"1,659"
